"Dates_YYYYMMDD" "Time_hhmm" "Red_av" "Red_sd" "Green_av" "Green_sd" "Blue_av" "Blue_sd" "Red_Index_av" "Red_Index_sd" "Green_Index_av" "Green_Index_sd" "Blue_Index_av" "Blue_Index_sd" "GEI_av" "GEI_sd" "BRI_av" "BRI_sd"
"2020-09-12" "12:00" 151.613855144709 26.1669640267368 132.378583302923 26.030193287459 132.808233095333 28.4364922161352 0.364899691247672 0.0153198363444232 0.317310219565612 0.00583507510109177 0.317790089186716 0.0134571171722127 -19.664921634195 7.0033388711059 416.800671542965 78.9365647688283
"2020-09-12" "12:30" 153.097920726105 25.2358186818139 132.301554769615 25.332156438874 134.41968757722 28.0782919483089 0.365870111155524 0.0154137285543618 0.314846021020703 0.00599103284864318 0.319283867823773 0.0131896055667506 -22.9144987640947 7.40070210573705 419.81916307294 76.9442630526196
"2020-09-12" "13:00" 154.361448170394 24.5644723123237 133.499558960447 24.8519248289462 134.273368784804 27.4882562734862 0.366871187925226 0.0155741109743929 0.315967132480916 0.00594777008872658 0.317161679593858 0.0132089464789859 -21.6356990343032 7.30571530337638 422.134375915645 75.1425890807354
"2020-09-12" "13:30" 154.433797017762 24.2069578888794 134.844679104518 24.5166160559318 136.183919231237 27.1065285310461 0.364064095329467 0.0153947803390154 0.316649741842716 0.00589237300145678 0.319286162827817 0.0133240489282479 -20.9283580399636 7.18231815655166 425.462395353516 74.0122555557113
"2020-09-12" "14:00" 155.176688171648 24.0984761613544 135.896914559201 24.5665670217094 136.411233235333 27.140677213971 0.364113274209911 0.0155204500783296 0.317617093929778 0.00587794598691306 0.318269631860311 0.0135239892873333 -19.7940922885783 7.13453338225183 427.484835966183 73.976843711692
"2020-09-12" "14:30" 155.789787467132 23.334391070808 135.885423814912 24.1599677441992 137.73212259752 26.8814768031579 0.363954524499774 0.0152502927000232 0.316132550916189 0.0060345367459104 0.319912924584037 0.0131006995898248 -21.751062434829 7.35639038166804 429.407333879564 72.5960214361992
"2020-09-12" "15:00" 156.232284401276 23.5134570228723 135.404360974617 24.3322985560289 136.903653704771 26.9499483795085 0.365779346310881 0.0152980060244865 0.315629668613676 0.0061674514672751 0.318590985075442 0.0128924473315944 -22.3272161568127 7.52451823800788 428.540299080664 73.0413711161869
"2020-09-12" "15:30" 158.483071042942 22.8500630057983 139.991318444328 24.2249631019979 142.409423175347 26.8732371168292 0.360645546900918 0.0145858275899786 0.317181686860005 0.00604523584582377 0.322172766239077 0.0124151721507766 -20.9098573296336 7.45015191261125 440.883812662617 72.2932784651016
"2020-09-12" "16:00" 153.336736184905 22.2878663539961 133.599597288429 23.8669380630866 134.898229645049 26.9267825954147 0.364925433655897 0.0148427700070865 0.316370193526925 0.0062460086188584 0.318704372817178 0.0129979211047271 -21.0357712530955 7.48376321923523 421.834563118383 71.5330849339043
"2020-09-12" "16:30" 150.725329899881 22.0692902234175 131.592179561623 23.6742606517533 133.770638011719 26.8312137556735 0.363662194134728 0.015342527724784 0.315920863675758 0.00621932611167685 0.320416942189514 0.0130318782524422 -21.3116087883538 7.40398514115234 416.088147473222 70.953624147622
"2020-09-12" "17:00" 149.36380369647 22.132152939587 129.608025619311 23.6180297779322 131.444948088918 26.9005623198326 0.365413881518098 0.0156385043370905 0.315463995616364 0.00646018965423411 0.319122122865538 0.0134573956694181 -21.5927005467666 7.66972456947293 410.416777404698 70.9838807598516
"2020-09-13" "08:00" 141.897560244167 27.8292275573337 125.707954548063 28.0615753566077 128.099482151477 30.6673635232786 0.359960701097214 0.0159443601722828 0.31733251089066 0.00731205255133292 0.322706788012126 0.0137327377731778 -18.581133299519 8.55356781779767 395.704996943707 84.9664327671324
"2020-09-13" "08:30" 146.137712974672 30.012729980341 127.600054776118 29.2064618867009 127.342242867821 31.4688061883653 0.365643419616325 0.0169206276283856 0.317898387459634 0.00723638186602886 0.316458192924041 0.0144187392080936 -18.2798462902568 8.74703536267494 401.080010618611 88.9334444684644
"2020-09-13" "09:00" 147.355698208071 30.5777714314808 127.54724478422 29.6500493685259 128.966013560914 31.9844113569868 0.36618817484786 0.0165136530002956 0.315471410282995 0.00693096894720958 0.318340414869146 0.0142992363110591 -21.2272222005464 8.46779670487254 403.868956553205 90.5476946321368
"2020-09-13" "09:30" 150.096060174167 30.749682581441 130.678575882136 29.8804907079711 131.419047247462 31.9887696889713 0.365405923668153 0.01641491060519 0.316671693939071 0.00670771550794642 0.317922382392776 0.0140926354543096 -20.1579556573555 8.17961813929048 412.193683303765 90.9381586985619
"2020-09-13" "10:00" 147.510835496454 30.283931859074 129.31183447208 29.1934347466318 128.710697944136 31.3521851905141 0.3648335915044 0.0167722740921652 0.31868101744847 0.00657643021466281 0.31648539104713 0.0146963420151668 -17.5978644964308 8.00682095462603 405.53336791267 89.0403526631616
"2020-09-13" "10:30" 148.624001732027 30.1394489970193 129.125612501807 29.03918420302 130.089278951971 31.2963089630951 0.365590387998156 0.0162815036824546 0.316345947738702 0.00649481994768552 0.318063664263142 0.0141193957206275 -20.4620556803829 7.97201179387707 407.838893185805 88.7803470043458
"2020-09-13" "11:00" 148.37727816246 29.2058832761606 129.288020631318 28.3973176997787 128.941339826904 30.6382361875311 0.366113337638597 0.0164028532722226 0.31771197356915 0.0062676773460086 0.316174688792253 0.0144234685043349 -18.7425767267291 7.53242845896056 406.606638620682 86.5058866304594
"2020-09-13" "11:30" 150.428162574906 28.4318107503279 130.195220248191 27.4067943121369 130.863781893127 29.7120862940837 0.366617419711211 0.0166445388384555 0.316150516003578 0.00617187009095591 0.317232064285212 0.0144130783820511 -20.9015039716511 7.5789241908288 411.487164716224 83.6616583451645
"2020-09-13" "12:00" 150.409127873929 26.7311801240136 131.211329476054 26.3650433117196 132.431420070857 28.6573019433052 0.364317856148078 0.0155972898902778 0.316546754419425 0.00583150131267359 0.319135389432497 0.0140574848054482 -20.4178889926779 6.87851007515618 414.051877420841 79.9798180200121
"2020-09-13" "12:30" 153.418051943978 25.7801692960483 131.866645398844 25.6454168474084 132.322147835846 28.0551734161782 0.368542474723885 0.015707223266463 0.315439833860365 0.00581868976277745 0.31601769141575 0.0136867417923841 -22.0069089821358 7.03080025548828 417.606845178669 77.6962848014858
"2020-09-13" "13:00" 155.500515247422 25.5751038644382 133.019815796178 25.5956527810625 133.602423307697 28.125282102713 0.369645122697592 0.0156204635158732 0.31477402445321 0.0057902924339365 0.315580852849198 0.0136355140493015 -23.0633069627637 7.01127829424033 422.122754351297 77.5417335557694
"2020-09-13" "13:30" 144.884555506339 24.6492026144732 129.014032937584 25.5821130823139 130.130368690705 28.4459217181122 0.359958621457761 0.0158291763863032 0.319048766350204 0.00643234162299929 0.320992612192035 0.0135869076162585 -16.986858321877 7.57714111787724 404.028957134628 77.0026536002189
"2020-09-13" "14:00" 147.749121554785 24.3108160647975 131.070306983419 25.3641850368711 133.140154949091 28.317103129976 0.359989028576824 0.0154413705529624 0.317861974607482 0.00663549710231225 0.322148996815694 0.013297437375403 -18.748662537037 7.95798410401894 411.959583487296 76.3337549869299
"2020-09-13" "14:30" 153.033199223648 22.9940367362827 132.857982203882 24.0552628030423 135.28872751865 26.8929011053733 0.364617156798323 0.0155212221495824 0.315090303858796 0.00639845262895248 0.32029253934288 0.0131439118721629 -22.6059623345337 7.64922115799258 421.179908946179 72.1713678879212
"2020-09-13" "15:00" 157.001575960935 24.2590904293258 136.012267249313 24.9895509055151 136.269307242765 27.4500740932916 0.366981052628949 0.0157580635619955 0.316474831780976 0.00627271915041006 0.316544115590075 0.0133280738894461 -21.2463487050727 7.56044333837403 429.283150453012 74.8469662826851
"2020-09-13" "15:30" 152.474342820465 22.9998054864718 134.018047047789 24.1669883710205 134.900658613965 27.0213404305194 0.363122197653968 0.0155951577286022 0.317731035224595 0.00637784433045303 0.319146767121437 0.0133684790075947 -19.3389073388523 7.69483110072909 421.39304848222 72.390197397934
"2020-09-13" "16:00" 153.74760144101 23.4718302042005 132.611264754552 24.7800547544234 135.160898726149 27.4974325886226 0.366148471962729 0.0154399766214852 0.314148020342728 0.00645746041962767 0.319703507694543 0.013214981710348 -23.6859706580555 7.59453513376634 421.519764921711 74.0658628418626
"2020-09-13" "16:30" 153.474150033011 22.9644385750677 132.899768884564 24.5117363679188 134.948762908918 27.3011348892318 0.36570499546927 0.0153592687437115 0.315019243110862 0.00670612776063036 0.319275761419868 0.0129837649251095 -22.6233751728011 8.02836600164022 421.322681826493 73.126645350834
"2020-09-13" "17:00" 146.41768396475 22.0965433352947 130.190877940296 23.9415130906728 132.593517598358 27.0569607186492 0.359203316227472 0.0160342457405206 0.317817533243854 0.00672298095345746 0.322979150528674 0.0137166808377161 -18.6294456825173 7.94814468844476 409.202079503404 71.3137728945714
"2020-09-14" "08:00" 139.955231234016 30.5899851850558 124.332237045945 30.0750167689025 128.911376678379 32.3302789723863 0.35699236846981 0.0162471828834556 0.315783901314055 0.00758155220487682 0.327223730216135 0.0141174916146518 -20.2021338205042 8.94365287825786 393.19884495834 91.3978325289042
"2020-09-14" "08:30" 141.581726197443 32.7102797827873 126.107849279992 31.6267077645867 128.315358963354 33.5476574062688 0.358463975318747 0.0175470992394724 0.318127231100759 0.0076042990205564 0.323408793580495 0.0150460288367636 -17.6813866008129 9.05100777161091 396.00493444079 96.13537226312
"2020-09-14" "09:00" 143.300515094416 34.0717450224291 126.153546026857 32.6718835626386 128.329343704074 34.433305261142 0.361272159153659 0.0170906265377959 0.316725531556987 0.00729513304364588 0.322002309289354 0.0149451645485684 -19.3227667447762 8.66553334008412 397.783404825348 99.5473828943456
"2020-09-14" "09:30" 146.378366799552 34.7217930954509 129.198138836038 33.1156723338897 129.353316670989 34.8199862667761 0.36256638951113 0.0165713637833465 0.318791575988531 0.00696756803366203 0.318642034500339 0.0147490637430937 -17.3354057984652 8.39110242399703 404.929822306579 101.081590197814
"2020-09-14" "10:00" 144.326545225871 33.3381657307833 127.750663089388 31.7872549964151 127.752822767892 33.5929385622534 0.361900983568978 0.0169996924520512 0.319331058648801 0.00693963672016915 0.318767957782221 0.0153057666809169 -16.5780418149868 8.15416772839817 399.830031083152 97.0215533260424
"2020-09-14" "10:30" 145.544444010928 33.5362213847843 127.698140748612 31.8022162689443 129.679910093724 33.8392579809942 0.362192155560175 0.0171551865112133 0.31670276909542 0.0069552171036263 0.321105075344405 0.0150050904815942 -19.8280726074274 8.46666467423253 402.922494853264 97.4997280861403
"2020-09-14" "11:00" 146.08589293105 32.1882510861086 127.36617069799 30.8828148935277 130.489024503132 32.8527630153855 0.362691876841662 0.0160469119215813 0.314880375403651 0.00639499347409134 0.322427747754687 0.0144379005583478 -21.8425760382025 7.60925265220462 403.941088132173 94.3810113533769
"2020-09-14" "11:30" 147.116823076964 31.4019595632439 128.659604678615 29.7856516605155 131.156027017785 31.7930570543309 0.362319771082311 0.0174954489361265 0.315856830694793 0.0063662016125163 0.321823398222897 0.0155066352880538 -20.9536407375191 7.71461106519039 406.932454773364 91.1007685051841
"2020-09-14" "12:00" 148.563826800363 30.8686786689161 131.062235156322 29.3999527384025 134.631502847058 31.0040779397393 0.35918140744306 0.0163423313307038 0.31597193392756 0.00600730296289464 0.324846658629381 0.0148187622810347 -21.0708593347762 7.16924202884703 414.257564803743 89.5429791845124
"2020-09-14" "12:30" 149.629143495833 28.8143331452659 131.229404064908 28.1602025583415 137.30506013515 30.010517696456 0.358503435204875 0.0159622730639265 0.313308273059706 0.00608721996311923 0.328188291735419 0.0144036512148401 -24.475395501167 7.17177411188993 418.163607695892 85.2554336142661
